id,username,created_at,lng,lat,text
1517668194659541000,Pam_Bond_,Sat Apr 23 00:54:29 +0000 2022,-100.0768885,31.1688935,@JohnM53093509 @RepMTG You have your info wrong. Do more research.
1517668194181431296,ricktillery,Sat Apr 23 00:54:29 +0000 2022,-94.2187445,36.3739955,Found the place I’ll be using as my office for the next couple of weeks. The Meteor Cafe has great food and coffee… https://t.co/913SvmRs6s
1517668195200638978,surfelvistx,Sat Apr 23 00:54:29 +0000 2022,-97.754724,30.323345500000002,@Emywinst Especially this loser who knows she was right all along... https://t.co/QIPmxwCRCB
1517668196597342214,smileeBWR,Sat Apr 23 00:54:29 +0000 2022,-87.732013,41.8335845,My baby 🥺🥺🥺
1517668196739866624,A_twist561,Sat Apr 23 00:54:29 +0000 2022,-82.3302695,29.673171500000002,Jimmy Butler is just flying around the court tonight. Honestly didn’t know he still had this in him.
1517668196928528385,TinaKotek,Sat Apr 23 00:54:29 +0000 2022,-122.630908,45.536402,I’m running for Governor because we need to build on the progress we’ve made to fight climate change. I’m proud to… https://t.co/KyJNubjH6B
1517668197498982401,ArelyLiset,Sat Apr 23 00:54:29 +0000 2022,-123.029015,44.935084,"@HeyFrazzles Yup, and she BLAMED the dogs!"
1517668198006595585,jsreid2000,Sat Apr 23 00:54:29 +0000 2022,-96.835249,33.1501395,"@ProspectTimes Cody was bad, but unholy Fielding errors!!  Procyshen murdered the catch on the popup, Ornelas decid… https://t.co/9zSuFVVsxm"
1517668197977231360,HadynChases,Sat Apr 23 00:54:29 +0000 2022,-98.407535,40.603761,That’s fishy.. Ulysses Kansas https://t.co/YcKNnEHD6e
1517668198593802243,CarlosQ200,Sat Apr 23 00:54:30 +0000 2022,-73.8311875,40.6708795,@urbanmodernism Yea that’s expected here in queens there at 700k and up.
1517668197503172609,JoseNavaBravo,Sat Apr 23 00:54:29 +0000 2022,-117.202221,32.732365,@LEVIS so I am at @SanDiegoAirport  and  this happen to me as I sat down to wait for my next flight to Phoenix. I b… https://t.co/DoftoK5TWO
1517668198946123776,_underated4,Sat Apr 23 00:54:30 +0000 2022,-89.87644900000001,32.571032,If we never speak again I’m just I got to tell the truth💯
1517668198996316162,KDTheKreator,Sat Apr 23 00:54:30 +0000 2022,-118.4119065,34.0207895,Bruh I was about to say a confession about my life but I think I’m gonna save it until the next podcast episode. Wh… https://t.co/4XZa9HvBs4
1517668199365439488,theybelikefaith,Sat Apr 23 00:54:30 +0000 2022,-118.4119065,34.0207895,Where y’all be buying y’all dunks from?
1517668199357206528,Football_Guys,Sat Apr 23 00:54:30 +0000 2022,-83.9638415,35.9824705,Note to my business owner peeps. Be cool to your people. You work for them. And let them have weekends.HT:… https://t.co/FNJO87I0WM
1517668200187453440,TeamDLH,Sat Apr 23 00:54:30 +0000 2022,-118.4119065,34.0207895,@jazz_deagent For more information on the ways we can help your music career you are welcome to visit our official… https://t.co/OAZbdILfmQ
1517668201680850945,alcabrera14,Sat Apr 23 00:54:30 +0000 2022,-80.321611,25.912833,@LakersCanes305 @malachicane26 One of the best I've seen.
1517668204117590016,JenicaNorris,Sat Apr 23 00:54:31 +0000 2022,-122.3306025,47.614817,@SouthSoundShane IDK but whoever they are they can get ducked.
1517668203937345556,saltyjeepgirl00,Sat Apr 23 00:54:31 +0000 2022,-76.255686,36.895082,Hey guys!I’m trying to find opportunities being an adult model 😃😈If any of you see this and know who I should co… https://t.co/J2x9Zbn66M
1517668205002584064,TommyK53062,Sat Apr 23 00:54:31 +0000 2022,-111.7375655,33.4057545,@jamesholden007 Estimated net worth: $70 million
1517668205178744832,NikStreng,Sat Apr 23 00:54:31 +0000 2022,-122.770073,45.376468,"Through three innings pitched for Tualatin’s Logan Larrance, all four runs scored came off guys who were walked. #opreps"
1517668206500061186,14Jhill,Sat Apr 23 00:54:31 +0000 2022,-100.0768885,31.1688935,Happy birthday!! 🎉🎊🎂
1517668206915338242,SmudgeShop,Sat Apr 23 00:54:32 +0000 2022,-83.01691,42.32155,Just posted a photo @ Smudge Metaphysical https://t.co/XUYuo8ruAr
1517668206672060417,swampybake,Sat Apr 23 00:54:32 +0000 2022,-88.414478,43.783302,Date night with the bearded wonder ❤️#datenight #beardedwonder #fridaynight #friday #ilovehim #happilymarried… https://t.co/0w1LmYbob0
1517668207242395649,rbrathletics,Sat Apr 23 00:54:32 +0000 2022,-74.0418,40.3508,BUCS in college!!! Abby Decker helping Loyola reach the Patriot League semifinals for the 1st time in school histor… https://t.co/8eOQy95107
1517668207594811392,ianhertenstein,Sat Apr 23 00:54:32 +0000 2022,-79.861034,35.1704985,@DjDaveeee Dude everything was on point. The production and everything was so fire.
1517668207619936257,lu11s__,Sat Apr 23 00:54:32 +0000 2022,-87.732013,41.8335845,I miss tyan :( imma show up at her crib on Sunday no type of announcement
1517668208106422272,mskellylove69,Sat Apr 23 00:54:32 +0000 2022,-84.433106,33.7671945,Getting myself back on track with my @OnlyFans starting tomorrow #onlyfans #Atlanta #ContentCreator
1517668208861351936,ih8blackolives,Sat Apr 23 00:54:32 +0000 2022,-122.805579,45.484892,"I feel like these are cool for the warmer weather, yay or nay? https://t.co/jo7lCKVrKR"
1517668209784242176,LilBlueDucky,Sat Apr 23 00:54:32 +0000 2022,-80.926628,33.6311395,@bizarrospeak Oh he looks SO SWEET!
1517668210014830592,debo_melo,Sat Apr 23 00:54:32 +0000 2022,-97.552161,35.4828435,Really feel something big is about to happen within my household 🙏🏽
1517668208303607808,RightsandRespo1,Sat Apr 23 00:54:32 +0000 2022,-81.2487865,42.9488405,Earth day!! 🌏❤🇨🇦#EarthDay https://t.co/0gJPo9Wnom
1517668210648170496,Th3KayleighKate,Sat Apr 23 00:54:32 +0000 2022,-80.926628,33.6311395,“They don’t bite” 😂😂😂
1517668210509639681,tmj_sea_itpm,Sat Apr 23 00:54:32 +0000 2022,-122.3320708,47.6062095,"If you're looking for work in Seattle, WA, check out this #IT #InformationTechnology job via the link in our bio: P… https://t.co/I7Q6iV5XZ5"
1517668210610675712,jodireimerry,Sat Apr 23 00:54:32 +0000 2022,-75.3770124,37.9199216,"The colorful, marsh grass loving wild ponies of #Assateague and #Chincoteague Islands. And an operational lighthous… https://t.co/O2jfwsRRfB"
1517668211088666624,RuegerNick,Sat Apr 23 00:54:33 +0000 2022,-77.60468399999999,41.1179365,Casuals. It’s HBK all day. His second run was amazing and he helped make so many guys.
1517668211054956544,PaneraCareers,Sat Apr 23 00:54:33 +0000 2022,-81.5451915,30.6261265,"Much more than a place to work, Panera is a place to be ourselves, and better, with plenty of opportunities for gro… https://t.co/B45lRknvsn"
1517668211545673728,Michsteer,Sat Apr 23 00:54:33 +0000 2022,-117.7063095,33.529449,@John_Ka4y That’s so beautiful!
1517668211805855744,matt_lardie,Sat Apr 23 00:54:33 +0000 2022,-78.8954405,35.9909825,@mickiemangle Are you in Snow Camp!?
1517668212082720770,young_ent_,Sat Apr 23 00:54:33 +0000 2022,-86.24472850000001,32.364145,Riddle &amp; UCE being real physical in there! 😳😳😤😤😤😤 #SmackDown
1517668212577603587,SpideyNYC82,Sat Apr 23 00:54:33 +0000 2022,-73.9487755,40.655138,@FinesseTheBooks The Double NRFI! https://t.co/e7tn9ryBk9
1517668213353496578,Cherryteee,Sat Apr 23 00:54:33 +0000 2022,-77.49317049999999,37.529883,@ChldishRicardo Yeah i couldn’t respect my man for allowing that. Lol
1517668213512970241,KayHaikitten,Sat Apr 23 00:54:33 +0000 2022,-114.47805556,47.00361111,"Just posted a photo @ Alberton, Montana https://t.co/INnwINalMc"
1517668215253610497,satonic_energy,Sat Apr 23 00:54:34 +0000 2022,-75.77004099999999,42.746617,NO FREEICKING WAY @GFuelEnergy @ES_FTW @GammaLabs  IM FINALLY GETTING UNCHARTED AND CHERRY YESSSSSS also don’t tell… https://t.co/qbPhU9o8h1
1517668216436183041,bluekittygrl,Sat Apr 23 00:54:34 +0000 2022,-118.13196400000001,34.17731,Happiest Birthday to this queen @ashleyhollabakk!! 🔥🥳🎉🎂
1517668218118164481,isorude_mark,Sat Apr 23 00:54:34 +0000 2022,-122.455344,47.242960499999995,@Super70sSports In 1988 we pooled together our money in the barracks and bought a case for under $8.00.
1517668218193825796,HarobedRetsiger,Sat Apr 23 00:54:34 +0000 2022,-83.804475,27.698681999999998,Oh Dear . Does everyone have an inappropriate touch in their lives ?!  YES . It's the actions that make the differe… https://t.co/XDihjpMy0h
1517668220303413249,Daddeo10,Sat Apr 23 00:54:35 +0000 2022,-122.0429745,38.233362,"@henryzcohen No, Henry. It highlights the need for drastic criminal control."
1517668222694273025,SavafoSho,Sat Apr 23 00:54:35 +0000 2022,-90.64984949999999,38.500901999999996,Without You https://t.co/9amvCeFRv2 via @YouTubeMusic
1517668223960838144,Shadowtriggerf8,Sat Apr 23 00:54:36 +0000 2022,-73.92413457,40.82874907,"Just posted a photo @ Bronx, NY https://t.co/c57tnSzNma"
1517668224166514690,NYCKING,Sat Apr 23 00:54:36 +0000 2022,-73.8311875,40.6708795,#NBAPlayoffs PJ Tucker mic'd up
1517668224145494019,pardonmy_crown,Sat Apr 23 00:54:36 +0000 2022,-80.8467855,35.209058999999996,"If Karisha marry this man, she gone have to sneak me in the wedding party. And I’m definitely planning the bachelor… https://t.co/XKG13TxM29"
1517668223902265346,TomBraggSports,Sat Apr 23 00:54:36 +0000 2022,-81.633705,38.347486,For the cursed images file: https://t.co/8MA2ZV4LF3
1517668225533755393,broccoli1789,Sat Apr 23 00:54:36 +0000 2022,-93.1056485,44.9415155,@ThatEricAlper Could have been some Medeski Martin &amp; Wood. I really liked End of the World Party (Just in Case) and… https://t.co/cKK0bG6GJP
1517668225151950848,bigherosyd,Sat Apr 23 00:54:36 +0000 2022,-118.4119065,34.0207895,You won’t get me this time damn it https://t.co/wFXzCCr9HU
1517668226620174337,511NY,Sat Apr 23 00:54:36 +0000 2022,-73.811725,40.694102,Construction on #I678 NB from Exit 5 - 101st Avenue to Archer Ave https://t.co/ajsMABMGuU
1517668227404414980,511NY,Sat Apr 23 00:54:36 +0000 2022,-74.314078,40.605387,Incident on #GardenStateParkway NB at North of Colonia Service Area https://t.co/iXBLv7QmGJ
1517668228193005568,CoachValletta,Sat Apr 23 00:54:37 +0000 2022,-76.50886249999999,42.4494885,I love this💙💚
1517668228650000389,nick1setter,Sat Apr 23 00:54:37 +0000 2022,-122.3306025,47.614817,Extend him now @Yankees
1517668229006692353,katherine_ortaa,Sat Apr 23 00:54:37 +0000 2022,-95.44648649999999,29.838495,Couple sitting in-front of me procreating at the Astros game
1517668229010931714,Des10_Logan,Sat Apr 23 00:54:37 +0000 2022,-84.5321325,33.9481235,Thank you more work to do 🤝
